Year,County/State,ACTUAL_COUNT,Latitude,Longitude
2017,"PICKENS, South Carolina",1,34.8834489,-82.7073573
2017,"PINAL, Arizona",7,32.8162061,-111.2845025
2017,"RANDALL, Texas",1,34.9020377,-101.7979613
2017,"RANDOLPH, Illinois",1,38.0629321,-89.7755338
2017,"SALUDA, South Carolina",1,34.0015232,-81.7720522
2017,"SHELBY, Tennessee",2,35.1268552,-89.9253233
2017,"ST LOUIS, Missouri",16,38.6270025,-90.1994042
2017,"ST TAMMANY, Louisiana",1,30.4357418,-89.9253233
2017,"STARR, Texas",1,26.6215167,-98.7481167
2017,"STONE, Missouri",1,36.7748882,-93.4599326
2017,"SUSSEX, Delaware",1,38.6530841,-75.4344727
2017,"SWEETWATER, Wyoming",1,41.8519395,-109.1880047
2017,"WARD, North Dakota",1,48.2147451,-101.5805256
2017,"WARREN, Kentucky",1,36.9886043,-86.4996546
2017,"WASHINGTON, Minnesota",1,44.8896877,-92.8577105
2017,"WASHINGTON, Oregon",1,45.5469616,-123.1386021
2017,"WASHTENAW, Michigan",1,42.3076493,-83.8473015
2017,"WAYNE, Michigan",1,42.2814269,-83.3863214
2017,"WEBB, Texas",43,27.7925109,-99.4228149
2017,"WILLACY, Texas",6,26.4948223,-97.6982272
2017,"WINNEBAGO, Illinois",2,42.2661311,-89.2412202
2017,"WINONA, Minnesota",2,44.0553908,-91.6663523
2018,"ADAMS, Colorado",1,39.8398269,-104.1930918
2018,"ALLEN, Kentucky",1,37.6100457,-82.7279705
2018,"BAY, Michigan",1,43.7109732,-84.0167423
2018,"BENSON, North Dakota",1,48.088634,-99.4648442
2018,"BERKELEY, West Virginia",2,39.4885604,-78.0651931
2018,"BERRIEN, Michigan",1,42.0320742,-86.7416374
2018,"BEXAR, Texas",1,29.4200763,-98.5721016
2018,"BOLLINGER, Missouri",1,37.2115595,-90.0746767
2018,"BOULDER, Colorado",1,40.0149856,-105.2705456
2018,"BULLITT, Kentucky",1,37.9842107,-85.684578
2018,"BURNET, Texas",10,30.7582376,-98.2283585
2018,"CARROLL, Virginia",1,36.6778699,-80.7214417
2018,"CHAMBERS, Texas",2,29.7524956,-94.6863782
2018,"CHEROKEE, South Carolina",1,35.0120404,-81.6035062
2018,"CHESTERFIELD, South Carolina",1,34.7359889,-80.0881194
2018,"CLINTON, Michigan",1,42.0719866,-83.9716095
2018,"COLLIER, Florida",4,26.069985,-81.4278984
2018,"COMAL, Texas",1,29.8105572,-98.2212979
2018,"CREEK, Oklahoma",1,35.8362494,-96.3226072
2018,"DALLAS, Texas",1,32.7766642,-96.7969879
2018,"DODGE, Wisconsin",1,44.1321852,-91.5520942
2018,"DUBOIS, Indiana",1,38.357918,-86.8220341
2018,"EL PASO, Colorado",1,38.9108325,-104.4723301
2018,"FAYETTE, West Virginia",1,38.0615913,-81.0754657
2018,"FORT BEND, Texas",1,29.5692614,-95.8142885
2018,"FRANKLIN, Kentucky",5,36.7187855,-86.5785573
2018,"FRANKLIN, Vermont",1,44.9812585,-72.9165547
2018,"FREEBORN, Minnesota",1,43.76579,-93.5641078
2018,"GENESEE, Michigan",4,43.0777289,-83.6773928
2018,"GREENVILLE, South Carolina",2,34.8526176,-82.3940104
2018,"HAMILTON, Tennessee",1,35.1618966,-85.1479364
2018,"HARRIS, Texas",13,29.7751825,-95.3102505
2018,"HARRISON, Mississippi",1,30.432087,-89.0179332
2018,"HENNEPIN, Minnesota",7,45.0208911,-93.5094574
2018,"HENRICO, Virginia",3,37.5059332,-77.3324425
2018,"HERNANDO, Florida",11,28.8999815,-82.3745401
2018,"HILLSBOROUGH, Florida",6,27.9903597,-82.3017728
2018,"HORRY, South Carolina",1,33.9196567,-78.9288242
2018,"INGHAM, Michigan",2,42.6468943,-84.3542049
2018,"IOSCO, Michigan",1,44.3340462,-83.6386226
2018,"ISANTI, Minnesota",1,45.4894008,-93.2476091
2018,"JACKSON, Michigan",2,42.245869,-84.4013462
2018,"JACKSON, West Virginia",1,38.8139943,-81.647344
2018,"JEFFERSON, Colorado",3,39.377255,-105.8005988
2018,"JEFFERSON, Louisiana",10,29.9660371,-90.1531298
2018,"JIM WELLS, Texas",1,27.7841718,-98.0465185
2018,"KALAMAZOO, Michigan",1,42.2917069,-85.5872286
2018,"KANKAKEE, Illinois",1,41.1200325,-87.8611531
2018,"KENT, Michigan",2,43.0097027,-85.520024
2018,"KING, Washington",1,47.5480339,-121.9836029
2018,"KITSAP, Washington",1,47.6476607,-122.6412583
2018,"KNOX, Illinois",6,40.9342048,-90.2548467
2018,"LAFAYETTE, Louisiana",1,30.2240897,-92.0198427
2018,"LAKE, Florida",2,28.6736915,-81.3636586
2018,"LAURENS, South Carolina",1,34.4990116,-82.0142597
2018,"LEE, Florida",1,30.4196584,-83.3004216
2018,"LINCOLN, Wisconsin",1,44.6180518,-87.6420375
2018,"MACOMB, Michigan",1,42.6651965,-82.9286428
2018,"MANATEE, Florida",1,27.4799195,-82.345189
2018,"MARION, Indiana",1,40.5583739,-85.6591442
2018,"MARION, Tennessee",3,35.0928512,-85.643487
2018,"MARSHALL, Minnesota",1,44.448423,-95.7911916
2018,"MARTIN, Minnesota",1,43.6266807,-94.479976
2018,"MIDLAND, Texas",1,31.9973456,-102.0779146
2018,"MISSAUKEE, Michigan",1,44.366621,-85.023346
2018,"MONTGOMERY, Tennessee",2,36.4960406,-87.460397
2018,"MONTGOMERY, Texas",3,30.3882613,-95.6963355
2018,"NEW CASTLE, Delaware",1,39.6620397,-75.5668166
2018,"NODAWAY, Missouri",1,40.2907281,-94.8105955
2018,"ONEIDA, Wisconsin",1,44.4799393,-88.2266434
2018,"ORANGE, Florida",6,29.1383165,-80.9956105
2018,"OSCEOLA, Florida",1,28.1019838,-81.0754657
2018,"OSCEOLA, Michigan",1,43.9257279,-85.354965
2018,"PALM BEACH, Florida",20,26.7056206,-80.0364297
2018,"PASCO, Florida",3,28.3232418,-82.4319405
2018,"PIMA, Arizona",1,32.8961755,-109.8275815
2018,"PINAL, Arizona",2,32.8162061,-111.2845025
2018,"POLK, Florida",1,27.8617347,-81.6911559
2018,"PRINCE WILLIAM, Virginia",3,38.7838939,-77.6077865
2018,"PUTNAM, Indiana",2,39.690997,-86.8220341
2018,"RAMSEY, Minnesota",1,45.2611,-93.45
2018,"RICE, Minnesota",1,45.7529003,-94.2223283
2018,"SAGINAW, Michigan",1,43.4194699,-83.9508068
2018,"SARASOTA, Florida",1,27.3364347,-82.5306527
2018,"SCHOOLCRAFT, Michigan",1,42.1142107,-85.6377776
2018,"SEMINOLE, Florida",1,27.8397466,-82.7912134
2018,"ST JOSEPH, Michigan",2,42.0938577,-86.4895463
